birthpl,nin,recp,ch71,en71,wsppc,dens71,moldyed,birthlat,birthlong,Schools73new,Schools74new,Schools75new,Schools76new,Schools77new,Schools78new,pop71new,ch71new,totinnew,ninnew,nch71new,atsc71new,en71newish,en71new,nen71new,nen71newish
1275,1.190509796142578,0,177235,.2837646007537842,.3987982273101807,2398.34716796875,10.56402206420898,3.649887663928312,98.66831675555305,4,11,36,36,62,62,635562,177235,211,1.190509796142578,535805,180350,.2837646007537842,.3365963399410248,.66340363,.7162354
1276,5.11102294921875,1,17609,.2221201658248901,.5793059468269348,665.3555297851563,9.689281463623047,3.620306542864131,98.48162599499665,2,2,20,20,23,23,59882,17609,90,5.11102294921875,49918,13301,.2221201658248901,.2664569914340973,.73354304,.77787983
1301,1.534814238548279,0,72973,.1749879717826843,.5072001218795776,44.2747917175293,6.869953155517578,-1.762071067616425,100.891232040305,7,7,22,22,27,27,253606,72973,112,1.534814238548279,210053,44378,.1749879717826843,.2112704962491989,.78872949,.82501203
1302,1.469985842704773,0,82994,.173399955034256,.511482834815979,41.69932174682617,6.557244777679443,-1.193004842491107,101.0432628103092,12,12,22,22,27,27,295398,82994,122,1.469985842704773,267388,51222,.173399955034256,.1915643215179443,.80843568,.82660007
1303,1.795211315155029,0,44563,.1429289132356644,.6739007830619812,26.4697093963623,6.246632099151611,-.9048166404007174,101.306329274858,9,9,14,14,17,17,161227,44563,80,1.79521119594574,136225,23044,.1429289132356644,.169161319732666,.83083868,.8570711
1304,1.399545788764954,0,81455,.1904551237821579,.4390979111194611,218.2567291259766,8.381418228149414,-.4634922142137964,100.5911243412287,10,10,22,22,25,25,291591,81455,114,1.399545788764954,249560,55535,.1904551237821579,.2225316613912582,.77746832,.80954486
1305,1.397127151489258,0,160329,.1739486753940582,.3802827596664429,74.90219879150391,7.158697128295898,-1.593087358450415,99.54248402651443,15,15,45,45,52,52,555250,160329,224,1.397127151489258,455770,96585,.1739486753940582,.2119161039590836,.78808391,.82605135
1306,1.434690713882446,0,97582,.1903418600559235,.4148811101913452,155.4856567382813,7.708936214447021,-.2528224868662394,100.1609449070644,10,10,28,28,32,32,347044,97582,140,1.434690833091736,296154,66057,.1903418600559235,.2230494916439056,.77695048,.80965817
1307,1.865370392799377,0,55753,.2309154868125916,.5203253030776978,66.80261993408203,7.311449527740479,-.0005993866489847,100.579733715574,7,7,20,20,25,25,224056,55753,104,1.865370392799377,244419,51738,.2309154868125916,.2116774916648865,.78832251,.76908451
1308,.7795604467391968,0,79532,.1647001355886459,.4597237706184387,35.00395584106445,7.007252216339111,.3004911931683141,99.88593250035321,7,7,10,10,14,14,274256,79532,62,.7795604467391968,227563,45170,.1647001355886459,.198494479060173,.80150551,.83529985
1371,1.169569373130798,0,54721,.2887353003025055,.3721165955066681,282.5021667480469,9.759081840515137,-.9783272253801657,100.446363932672,3,3,13,13,16,16,196339,54721,64,1.169569373130798,163501,56690,.2887353003025055,.3467257022857666,.6532743,.71126473
1372,2.320522308349609,0,6895,,1.294174671173096,434.5789489746094,8.697583198547363,-.7651748393686539,100.6210339967564,2,2,2,2,4,4,24771,6895,16,2.320522308349609,267388,51222,.173399955034256,.1915643215179443,.80843568,.82660007
1373,4.214963436126709,0,3796,.2629757821559906,2.349561452865601,45.52014541625977,9.197071075439453,-.6033665295816564,100.7594942130901,2,2,2,2,4,4,12427,3796,16,4.214962959289551,10117,3268,.2629757821559906,.3230206668376923,.6769793,.73702419
1374,2.405291557312012,0,8315,.2951059937477112,1.046530604362488,1335.260864257813,8.642541885375977,-.4576744643736916,100.4290209889745,2,2,3,3,5,5,30711,8315,20,2.405291557312012,25929,9063,.2951059937477112,.3495314121246338,.65046859,.70489401
1375,1.302160382270813,0,16895,.3405562937259674,.4750047624111176,2525.280029296875,9.905241012573242,-.2730771119243623,100.373990149581,2,2,3,3,6,6,63132,16895,22,1.302160382270813,53291,21500,.3405562937259674,.4034452438354492,.59655476,.65944374
1376,1.356008768081665,0,17699,,.5439515113830566,792.3499755859375,9.093045234680176,-.2366597081672969,100.6365978772237,2,2,4,4,6,6,63388,17699,24,1.356008768081665,244419,51738,.2309154868125916,.2116774916648865,.78832251,.76908451
1401,2.303328037261963,1,59045,.153989315032959,.593239426612854,15.72834587097168,7.072788715362549,-.5284801588738862,101.9930385741071,10,10,23,23,35,35,197202,59045,136,2.303327798843384,164733,30367,.153989315032959,.1843407154083252,.81565928,.84601068
1402,2.692353010177612,1,76513,.1152089983224869,.5238263607025146,23.20713996887207,6.632466793060303,-.2608438799841835,103.1594088061267,14,14,37,37,52,52,286028,76513,206,2.692353010177612,236729,32953,.1152089983224869,.139201357960701,.86079866,.88479102
1403,2.127451658248901,1,92129,.100351519882679,.5233650207519531,44.98519134521484,6.957203388214111,1.563529652838176,105.5929593750568,17,17,32,32,49,49,331136,92129,196,2.12745189666748,277403,33230,.100351519882679,.1197896227240562,.8802104,.89964849
1404,2.29963493347168,1,79143,.1450991928577423,.5199233293533325,8.516048431396484,6.736916065216064,.4044907053913509,101.4591830562479,15,15,30,30,46,46,258692,79143,182,2.299634695053101,216566,37536,.1450991928577423,.1733236014842987,.82667637,.85490084
1405,1.880195260047913,1,121264,.1417463421821594,.4748726785182953,13.90768814086914,6.927775382995605,1.323298092451667,101.5561049326537,18,18,40,40,56,56,423503,121264,228,1.880195260047913,354729,60030,.1417463421821594,.1692277789115906,.83077222,.85825366
1471,1.265483856201172,0,41091,.2367027550935745,.4210370182991028,229.4778442382813,10.93010711669922,.5417133309352002,101.461025065084,6,6,8,8,12,12,145030,41091,52,1.265483856201172,118254,34329,.2367027550935745,.2902988493442535,.70970118,.76329726
1472,2.127451658248901,1,92129,.100351519882679,.5233650207519531,,5.660674571990967,.9610294770771574,104.0669078524829,,,,,,,331136,92129,196,2.12745189666748,277403,33230,.100351519882679,.1197896227240562,.8802104,.89964849
1501,2.540958881378174,1,52736,.1799212247133255,.5746751427650452,44.43214416503906,7.641867637634277,-2.032954669953619,101.4527683428136,9,9,22,22,36,36,186615,52736,134,2.540958881378174,153931,33576,.1799212247133255,.2181237041950226,.78187633,.82007879
1502,3.437607288360596,1,40726,.1691929996013641,.7823405861854553,10.61903667449951,6.985118389129639,-1.431160308829288,102.1697497241787,6,6,24,24,40,40,143357,40726,140,3.437607288360596,116856,24255,.1691929996013641,.2075631618499756,.79243684,.83080697
1503,3.546334981918335,1,45117,.1221045032143593,.6904470324516296,11.27295780181885,6.891985416412354,-2.241335304551002,102.3389128628441,9,9,27,27,44,44,160076,45117,160,3.546334981918335,119064,19546,.1221045032143593,.164163812994957,.83583617,.87789547
1504,2.380592584609985,1,52928,.1122108995914459,.447381854057312,19.36172485351563,5.512242317199707,-1.684773878519734,103.4253273548006,7,7,21,21,35,35,215496,52928,126,2.380592584609985,135607,24181,.1122108995914459,.1783167570829391,.82168323,.88778913
1505,3.78558087348938,1,41209,.1456110328435898,1.259224772453308,13.91970634460449,6.021094799041748,-1.15534424939132,103.5343961489748,15,13,24,24,40,40,141981,41209,156,3.78558087348938,179432,20674,.1456110328435898,.1152191385626793,.88478088,.85438895
1571,1.893689155578613,0,45414,.2257393151521683,.4595954716205597,769.703857421875,9.03834342956543,-1.621015502560694,103.6416364850699,6,6,12,12,25,25,158559,45414,86,1.893689155578613,131517,35793,.2257393151521683,.2721549272537231,.72784507,.7742607
1601,2.205278396606445,1,154629,.1575066596269608,.4582027196884155,52.13595199584961,7.236271381378174,-4.283803265525967,104.1718911823005,30,23,35,35,109,109,542631,154629,341,2.205278396606445,442213,85468,.1575066596269608,.1932733803987503,.80672663,.84249336
1602,1.93994677066803,1,129385,.1707717627286911,.4517326653003693,21.05852890014648,6.6089768409729,-3.374429047963979,105.2998123690773,20,21,30,30,75,75,445788,129385,251,1.93994665145874,374863,76128,.1707717627286911,.2030821889638901,.7969178,.82922822
1603,1.979331135749817,1,105086,.1539465934038162,.4847829341888428,37.99153900146484,7.090847969055176,-3.543820886114265,104.0295041031058,13,15,25,25,65,65,363769,105086,208,1.979331254959106,298412,56001,.1539465934038162,.1876633614301682,.81233662,.84605342
1604,1.75606644153595,0,106488,.1894976943731308,.5504682660102844,92.14402770996094,7.412454128265381,-3.853885232743814,103.2533731406391,16,17,21,21,56,56,371709,106488,187,1.75606644153595,308101,70438,.1894976943731308,.2286198288202286,.77138019,.81050229
1605,2.395143747329712,1,72647,.1630226522684097,.5906662344932556,11.74415493011475,6.344415664672852,-2.971196388755174,102.9498018553473,12,14,17,17,57,57,252652,72647,174,2.395143747329712,211823,41188,.1630226522684097,.1944453567266464,.80555463,.83697736
1606,2.04259467124939,1,106727,.1255490928888321,.5946123600006104,14.75957870483398,6.951740741729736,-2.492676288346517,104.2194253243082,19,19,28,28,62,62,376753,106727,218,2.04259467124939,316596,47301,.1255490928888321,.149404913187027,.85059512,.87445092
1607,1.823308944702148,0,88301,.1143039613962173,.5465728044509888,26.28744506835938,7.075057506561279,-2.271257027785053,106.0016584532592,13,14,21,21,46,46,303804,88301,161,1.823308825492859,253765,34726,.1143039613962173,.1368431448936462,.86315686,.88569605
1608,2.067005395889282,0,34833,.186655193567276,.7519949674606323,28.45300102233887,6.969353675842285,-2.887158847862362,107.8857582419132,8,8,8,8,20,20,128949,34833,72,2.067005395889282,109236,24069,.186655193567276,.220339447259903,.77966058,.81334484
1671,1.194880127906799,0,165707,.2227267324924469,.339067280292511,1453.76806640625,8.796290397644043,-3.003227892887153,104.7264551554456,15,15,21,21,63,63,582961,165707,198,1.194880127906799,485764,129841,.2227267324924469,.2672923505306244,.73270762,.7772733
1672,1.641886234283447,0,21926,.2529538571834564,.6436246633529663,839.6966552734375,8.687825202941895,-2.201041783896386,106.1361548978685,4,4,4,4,10,10,74733,21926,36,1.641886353492737,63836,18904,.2529538571834564,.2961338460445404,.70386612,.74704611
1701,2.246173143386841,0,52979,.228176474571228,.7955489754676819,30.18221473693848,7.174802780151367,-4.340747283032812,103.0401634822605,19,16,14,14,28,28,179554,52979,119,2.246173143386841,147622,40970,.228176474571228,.2775331735610962,.72246683,.77182353
1702,2.471408367156982,1,58671,.1720322072505951,.6345838904380798,49.91143417358398,6.981491565704346,-3.315519951096503,102.4982130685852,18,13,19,19,38,38,205136,58671,145,2.471408367156982,172951,35290,.1720322072505951,.2040462344884872,.79595375,.82796776
1703,2.694328308105469,0,29692,.1396945863962173,1.352018237113953,10.72725391387939,4.517403125762939,-3.143368108178615,101.8318246976501,9,17,9,9,18,18,102810,29692,80,2.694328546524048,84825,14362,.1396945863962173,.1693132966756821,.83068669,.86030543
1771,2.856201171875,0,9103,.2886461913585663,1.396723747253418,219.7655181884766,10.20247459411621,-3.833234000992995,102.3056418873258,4,4,3,3,6,6,31866,9103,26,2.856201171875,26938,9198,.2886461913585663,.3414507508277893,.65854925,.71135378
1801,2.59349513053894,1,313091,.1440527886152267,.4197575151920319,163.8577117919922,6.165393352508545,-5.464672690491723,105.025119341529,62,62,104,104,240,240,1114765,313091,812,2.59349513053894,904383,160585,.1440527886152267,.1775630414485931,.82243693,.8559472
1802,2.464614152908325,1,290512,.1568512767553329,.4481151700019836,121.6419143676758,6.221442699432373,-4.993670285271116,105.4499524936087,38,38,95,95,225,225,998500,290512,716,2.464614152908325,816337,156616,.1568512767553329,.1918521374464035,.80814785,.84314871
1803,3.006872653961182,1,130368,.1576283127069473,.6025656461715698,35.59946823120117,7.138311862945557,-4.45424466533376,105.0502466244842,21,21,45,45,130,130,464834,130368,392,3.006872892379761,385476,73271,.1576283127069473,.1900792717933655,.80992073,.8423717
1804,3.006872653961182,1,130368,.1576283127069473,.6025656461715698,,8.324372291564941,-5.227570466135921,104.196120959808,,,,,,,464834,130368,392,3.006872892379761,385476,73271,.1576283127069473,.1900792717933655,.80992073,.8423717
1871,2.861335277557373,1,54520,.2140050083398819,.4520921111106873,1000.683898925781,8.341000556945801,-5.421863349310752,105.2521775183371,9,9,11,11,58,58,198986,54520,156,2.861335277557373,164083,42584,.2140050083398819,.259527176618576,.74047279,.78599501
3171,1.08841609954834,0,282980,.2082379162311554,,7236.9111328125,10.01233863830566,-6.272530317234624,106.8086273353642,46,30,48,48,68,68,1054635,282980,308,1.08841609954834,863749,219615,.2082379162311554,.2542578876018524,.74574208,.79176211
3172,1.017266154289246,0,219215,.1958591192960739,,4291.91943359375,9.941530227661133,-6.25573719204058,106.902353503193,39,16,34,34,50,50,805722,219285,223,1.016941428184509,656965,157808,.1958591192960739,.240207627415657,.75979239,.80414087
3173,1.006775379180908,0,319833,.2187840789556503,,26593.171875,10.82863998413086,-6.181592519138652,106.8352147370324,43,3,57,57,81,81,1273813,319833,322,1.006775379180908,1064018,278690,.2187840789556503,.2619222700595856,.73807776,.78121591
3174,1.107768774032593,0,215749,.1762579083442688,,6533.41259765625,9.200855255126953,-6.164621873482151,106.745718274194,41,20,36,36,53,53,824190,215749,239,1.107768774032593,686248,145270,.1762579083442688,.2116873264312744,.78831267,.82374209
3175,1.034361004829407,0,158552,.1385155618190765,,4010.447509765625,9.087315559387207,-6.100036846193172,106.8502176024633,31,9,25,25,37,37,617649,158552,164,1.034361004829407,504748,85554,.1385155618190765,.1694984436035156,.83050156,.86148441
3201,2.134186267852783,1,160717,.1699410378932953,.5494666695594788,219.2954406738281,5.790535449981689,-6.590154188158102,105.7456212594129,26,43,60,60,77,77,572628,160717,343,2.134186267852783,471894,97313,.1699410378932953,.2062179148197174,.79378211,.83005893
3202,3.080189228057861,1,153562,.1331694573163986,.4629313051700592,175.1162109375,5.779564380645752,-6.64846065279314,106.2140267122951,32,39,89,89,112,112,546364,153562,473,3.080188989639282,442959,72759,.1331694573163986,.1642567366361618,.83574325,.86683053
3203,1.584272503852844,0,472141,.1323207765817642,.3191485106945038,496.9657287597656,6.250507354736328,-6.549059727823249,106.7702263257025,122,86,120,120,150,150,1668778,472141,748,1.584272503852844,1362316,220814,.1323207765817642,.1620872169733047,.8379128,.86767924
3204,2.124358892440796,1,345516,.1214869916439056,.3652201592922211,308.1535949707031,5.849939346313477,-7.075233247367522,106.7041670883476,77,79,130,130,159,159,1211817,345516,734,2.124358892440796,997799,147220,.1214869916439056,.1475447416305542,.85245526,.87851298
3205,1.795241236686707,1,315835,.1476901769638062,.3494070470333099,325.2540893554688,6.48054838180542,-7.127832324421836,107.1560575686116,50,59,100,100,129,129,1125647,315835,567,1.795241117477417,922765,166247,.1476901769638062,.180161789059639,.81983823,.85230982
3206,1.422163248062134,0,542835,.1424177139997482,.30815389752388,668.44775390625,7.378458499908447,-7.009064791053953,107.5266489510022,94,92,132,132,161,161,1974614,542835,772,1.422163248062134,1637312,281220,.1424177139997482,.1717571169137955,.8282429,.85758227
3207,1.74239456653595,1,334597,.1563694775104523,.3776781260967255,394.2273254394531,6.970160484313965,-7.359046971724972,107.7838249617402,52,73,102,102,127,127,1200554,334597,583,1.74239456653595,990909,187730,.1563694775104523,.1894523054361343,.81054771,.84363055
3208,1.310128927230835,0,374009,.1545858681201935,.3593321442604065,479.3170166015625,7.105159759521484,-7.488033107874098,108.1428216810168,48,76,80,80,103,103,1313406,374009,490,1.310128927230835,1086901,203034,.1545858681201935,.1868008226156235,.81319916,.84541416
3209,1.375207543373108,0,325769,.156167671084404,.3721824884414673,486.2828674316406,7.023865699768066,-7.432437285054243,108.4697748187236,43,61,75,75,97,97,1225689,325769,448,1.375207543373108,1043139,191413,.156167671084404,.1834971159696579,.81650287,.84383231
3210,1.54092812538147,0,176517,.161447212100029,.4289280474185944,589.6061401367188,7.066003799438477,-7.00136001327084,108.5610856206201,20,36,45,45,63,63,658593,176517,272,1.54092800617218,551324,106328,.161447212100029,.1928593665361404,.80714065,.83855277
3211,1.688907146453857,0,257563,.1143355816602707,.4380553364753723,1069.4931640625,6.331352233886719,-6.742854394541872,108.547182943628,63,52,70,70,90,90,1041688,257563,435,1.688907146453857,861251,119102,.1143355816602707,.1382895410060883,.86171043,.8856644
3212,1.747086405754089,0,186024,.1296799927949905,.3893651068210602,633.4927368164063,6.659689903259277,-6.816254066939793,108.2587488021941,34,39,55,55,71,71,765893,186024,325,1.747086405754089,636457,99321,.1296799927949905,.1560529619455338,.84394705,.87032002
3213,1.708930134773254,0,166771,.1621289849281311,.4390470385551453,448.6609191894531,6.761897087097168,-6.824526730063943,107.9822448940255,22,37,47,47,66,66,637918,166771,285,1.708930253982544,544648,103425,.1621289849281311,.1898932904005051,.81010669,.83787102
3214,3.049056529998779,1,243026,.06794174015522,.4163773059844971,509.2114868164063,4.192696571350098,-6.448741101480707,108.1671558601241,78,53,140,140,165,165,985462,243026,741,3.049056529998779,819805,66954,.06794174015522,.0816706418991089,.91832936,.93205827
3215,2.08462119102478,1,221623,.0883156284689903,.3983558416366577,481.7044677734375,5.332741737365723,-6.484754047792463,107.7331233357429,58,38,80,80,103,103,898448,221623,462,2.08462119102478,754673,79347,.0883156284689903,.1051409021019936,.89485908,.91168439
3216,2.383260726928711,1,99024,.122424378991127,.5841741561889648,382.4718017578125,6.777775287628174,-6.590717293256715,107.4436671138186,22,20,40,40,57,57,371658,99024,236,2.383260488510132,305767,45500,.122424378991127,.1488061100244522,.8511939,.87757564
3217,1.856308817863464,1,248881,.0868140831589699,.3906573951244354,636.2326049804688,5.030440330505371,-6.260212619065866,107.3505426629774,69,49,75,75,97,97,1004261,248881,462,1.856308937072754,833978,87184,.0868140831589699,.1045399308204651,.89546007,.91318589
3218,2.226603269577026,1,215575,.0943108424544334,.4259950220584869,646.8618774414063,5.212528705596924,-6.22520419189875,107.1015643275244,61,41,84,84,105,105,830721,215575,480,2.226603269577026,682481,78346,.0943108424544334,.114795871078968,.88520414,.90568918
3219,1.663585424423218,0,296949,.1250207424163818,.4334556758403778,1218.060424804688,4.606303691864014,-6.192404287628112,106.5444313260303,76,52,80,80,103,103,1066695,296949,494,1.663585305213928,882382,133359,.1250207424163818,.1511352211236954,.84886479,.87497926
3220,2.032057523727417,1,232769,.1542735248804092,.469951719045639,458.1390991210938,6.527361392974854,-6.131098584020392,106.1372047760676,54,75,75,75,97,97,859467,232769,473,2.032057523727417,713354,132593,.1542735248804092,.1858726590871811,.81412733,.84572649
3271,2.564735889434814,1,52637,.2045415043830872,.4231373965740204,8610.19921875,9.440732955932617,-6.593635152063086,106.7974999240687,7,20,20,20,34,34,195882,52637,135,2.564735889434814,162683,40066,.2045415043830872,.2462826520204544,.75371736,.7954585
3272,3.701989650726318,1,25932,.2177012115716934,.5372498631477356,7921.154296875,10.40437412261963,-6.949226095313517,106.9138270546444,7,5,15,15,27,27,96242,25932,96,3.701989889144897,82363,20952,.2177012115716934,.2543860673904419,.74561393,.7822988
3273,.6890698075294495,0,319271,.2280961573123932,.268880695104599,7150.6044921875,10.71824741363525,-6.924324638275536,107.6350742851919,36,36,30,30,44,44,1201730,319271,220,.6890698075294495,1002920,274110,.2280961573123932,.2733119428157806,.72668803,.77190387
3274,2.429309368133545,0,45692,.2099938988685608,.4208167791366577,4778.6123046875,8.854310989379883,-6.752554103988196,108.5498702832047,9,12,16,16,29,29,178529,45692,111,2.429309368133545,151250,37490,.2099938988685608,.24786776304245,.75213224,.7900061
3275,1.663585424423218,0,296949,.1250207424163818,.4334556758403778,,7.051465034484863,-6.188641922709374,106.6523639657961,,,,,,,1066695,296949,494,1.663585305213928,882382,133359,.1250207424163818,.1511352211236954,.84886479,.87497926
3301,2.154952764511108,1,333650,.1191634461283684,.3300333917140961,5.552908420562744,5.952072143554688,-7.48609082947471,108.8904123686235,72,73,121,121,166,166,1187495,333650,719,2.154952764511108,987849,141506,.1191634461283684,.143246591091156,.85675341,.88083655
